experiment_id,dataset_size,extreme_value_ratio,repetition,final_weight,final_bias,training_iterations,convergence_status,converged,execution_time,dataset_mean,extreme_value_count,validation_passed,training_final_loss,training_final_mae,training_initial_loss,training_loss_improvement,training_initial_weight,training_final_weight,training_weight_change,training_weight_std,weight_deviation_from_mean,bias_deviation_from_mean,weight_deviation_from_expected,bias_deviation_from_expected,relative_execution_time
exp_10_00_01,10,0.0,1,2.080583095550537,0.4689895510673523,50,converged,True,3.202263355255127,4.999999999999999,3,True,0.07026244699954987,0.22101807594299316,158.15884399414062,158.08858154714108,1.4172745943069458,2.080583095550537,0.6633085012435913,0.09823257476091385,0.034070920944214045,-0.2507009208202362,0.08058309555053711,-0.5310104489326477,1.0675388717573218
exp_10_00_02,10,0.0,2,2.101020336151123,0.4463701546192169,50,converged,True,3.0088798999786377,5.000000000000001,0,True,0.027859047055244446,0.12958483397960663,137.98138427734375,137.9535252302885,1.1735695600509644,2.101020336151123,0.9274507761001587,0.14209701120853424,0.05450816154479998,-0.2733203172683716,0.10102033615112305,-0.5536298453807831,1.0030706089195365
exp_10_00_03,10,0.0,3,2.084625482559204,0.46279022097587585,50,converged,True,3.001530170440674,5.0,1,True,0.06334386765956879,0.22116093337535858,152.19027709960938,152.1269332319498,1.3693104982376099,2.084625482559204,0.7153149843215942,0.10652939975261688,0.03811330795288104,-0.25690025091171265,0.0846254825592041,-0.5372097790241241,1.0006204288099576
exp_10_00_04,10,0.0,4,2.0992915630340576,0.4381759464740753,50,converged,True,3.016636848449707,5.0,1,True,0.03804835304617882,0.15587325394153595,131.56637573242188,131.5283273793757,1.2470893859863281,2.0992915630340576,0.8522021770477295,0.12969912588596344,0.05277938842773455,-0.2815145254135132,0.09929156303405762,-0.5618240535259247,1.0056565436477016
exp_10_00_05,10,0.0,5,2.0991883277893066,0.44468313455581665,50,converged,True,3.099061965942383,5.0,1,True,0.03417014330625534,0.14232344925403595,136.84632873535156,136.8121585920453,1.2117462158203125,2.0991883277893066,0.8874421119689941,0.1353447586297989,0.052676153182983576,-0.27500733733177185,0.09918832778930664,-0.5553168654441833,1.0331346137409048
exp_10_00_06,10,0.0,6,2.1098005771636963,0.4228801429271698,50,converged,True,2.9210562705993652,5.0,0,True,0.01684705540537834,0.09243988990783691,121.2803955078125,121.26354845240712,1.1740483045578003,2.1098005771636963,0.935752272605896,0.14476028084754944,0.06328840255737322,-0.2968103289604187,0.10980057716369629,-0.5771198570728302,0.973792836350543
exp_10_00_07,10,0.0,7,2.1065242290496826,0.4276202619075775,50,converged,True,3.139866352081299,4.999999999999999,0,True,0.02361113391816616,0.11020050197839737,124.32186126708984,124.29825013317168,1.1948977708816528,2.1065242290496826,0.9116264581680298,0.14031746983528137,0.06001205444335955,-0.292070209980011,0.10652422904968262,-0.5723797380924225,1.0467375762424127
exp_10_00_08,10,0.0,8,2.1032633781433105,0.424600213766098,50,converged,True,2.9753000736236572,5.0,0,True,0.03523608297109604,0.1680946797132492,121.4609375,121.4257014170289,1.2606714963912964,2.1032633781433105,0.8425918817520142,0.12868039309978485,0.05675120353698748,-0.2950902581214905,0.10326337814331055,-0.575399786233902,0.9918760986735338
exp_10_00_09,10,0.0,9,2.088258743286133,0.4586586356163025,50,converged,True,2.966137170791626,5.000000000000002,2,True,0.05601267144083977,0.19767963886260986,148.66009521484375,148.6040825434029,1.321996808052063,2.088258743286133,0.7662619352340698,0.11477641761302948,0.04174656867980975,-0.261031836271286,0.08825874328613281,-0.5413413643836975,0.9888214607920878
exp_10_00_10,10,0.0,10,2.089634656906128,0.45364701747894287,50,converged,True,2.992267370223999,5.000000000000002,1,True,0.055482167750597,0.18380403518676758,143.7509307861328,143.69544861838222,1.3258860111236572,2.089634656906128,0.7637486457824707,0.11454852670431137,0.043122482299804865,-0.26604345440864563,0.08963465690612793,-0.5463529825210571,0.9975324881268796
exp_10_25_01,10,0.25,1,2.0805130004882812,0.46952107548713684,50,converged,True,3.0395374298095703,5.0,2,True,0.07009293138980865,0.20981252193450928,158.8253936767578,158.755300745368,1.4155044555664062,2.0805130004882812,0.665008544921875,0.09848179668188095,0.044135317802429075,-0.291153393983841,0.08051300048828125,-0.5304789245128632,1.0132909128657661
exp_10_25_02,10,0.25,2,2.0891385078430176,0.4476650655269623,50,converged,True,3.0259621143341064,5.0,2,True,0.060905903577804565,0.2000264823436737,137.11297607421875,137.05207017064095,1.371362328529358,2.0891385078430176,0.7177761793136597,0.10739052295684814,0.0527608251571654,-0.31300940394401555,0.08913850784301758,-0.5523349344730377,1.0087653085170032
exp_10_25_03,10,0.25,3,2.083968162536621,0.4623057246208191,50,converged,True,3.0897600650787354,5.0,3,True,0.06548752635717392,0.20127920806407928,151.33480834960938,151.2693208232522,1.3859399557113647,2.083968162536621,0.6980282068252563,0.10382472723722458,0.04759047985076892,-0.29836874485015874,0.0839681625366211,-0.5376942753791809,1.0300336380710302
exp_10_25_04,10,0.25,4,2.06765079498291,0.48846662044525146,50,converged,True,2.985341787338257,5.000000000000001,2,True,0.09142286330461502,0.2714780867099762,178.94070434570312,178.8492814823985,1.6180692911148071,2.06765079498291,0.449581503868103,0.06593040376901627,0.03127311229705798,-0.27220784902572637,0.06765079498291016,-0.5115333795547485,0.9952237058313903
