experiment_id,dataset_size,extreme_value_ratio,repetition,final_bias,training_iterations,convergence_status,execution_time,dataset_mean,extreme_value_count,iqr_threshold,statistical_validation_passed,final_weight_0,training_final_loss,training_final_mae,training_initial_loss,training_loss_improvement,training_initial_weight,training_final_weight,training_weight_change,training_weight_std
exp_10_25_10,10,0.25,10,0.44241970777511597,50,converged,2.8767571449279785,5.0,2,2.3562466018099553,True,2.094268798828125,0.04976488649845123,0.1539161056280136,134.07345581054688,134.02369092404842,1.307707667350769,2.094268798828125,0.786561131477356,0.11865982413291931
exp_10_50_01,10,0.5,1,0.462421715259552,50,converged,2.9683094024658203,5.000000000000001,2,6.2184767085512656,True,2.082456111907959,0.0695890337228775,0.20970973372459412,150.6730499267578,150.60346089303493,1.4172568321228027,2.082456111907959,0.6651992797851562,0.09869775176048279
exp_10_50_02,10,0.5,2,0.4577298164367676,50,converged,2.953742742538452,5.000000000000002,2,6.900283786441295,True,2.081885576248169,0.07440611720085144,0.2196156233549118,144.12484741210938,144.05044129490852,1.4585763216018677,2.081885576248169,0.6233092546463013,0.09234488755464554
exp_10_50_03,10,0.5,3,0.4712890088558197,50,converged,3.0099148750305176,5.0,2,5.933000251106077,True,2.0817768573760986,0.06546103954315186,0.2053336650133133,161.57028198242188,161.50482094287872,1.3767708539962769,2.0817768573760986,0.7050060033798218,0.10465709120035172
exp_10_50_04,10,0.5,4,0.4693199694156647,50,converged,3.0679566860198975,5.0,2,6.800334288515513,True,2.080744743347168,0.06959737837314606,0.2239479124546051,158.67166137695312,158.60206399857998,1.411634922027588,2.080744743347168,0.6691098213195801,0.09912202507257462
exp_10_50_05,10,0.5,5,0.47569701075553894,50,converged,2.849486827850342,5.0,3,9.345681862098175,True,2.0728800296783447,0.08650964498519897,0.23642969131469727,162.00100708007812,161.91449743509293,1.5583127737045288,2.0728800296783447,0.5145672559738159,0.07560820877552032
exp_10_50_06,10,0.5,6,0.4665174186229706,50,converged,3.044835090637207,5.000000000000001,3,9.24817925144663,True,2.0763728618621826,0.0834897980093956,0.23278293013572693,151.19830322265625,151.11481342464685,1.5296415090560913,2.0763728618621826,0.5467313528060913,0.08054731786251068
exp_10_50_07,10,0.5,7,0.4650047719478607,50,converged,3.0566234588623047,5.000000000000001,2,7.789673132936132,True,2.0783021450042725,0.07925590872764587,0.24129998683929443,150.96141052246094,150.8821546137333,1.493781566619873,2.0783021450042725,0.5845205783843994,0.08626692742109299
exp_10_50_08,10,0.5,8,0.4666304588317871,50,converged,2.9752161502838135,5.0,2,7.043744244667474,True,2.080428123474121,0.07229489088058472,0.2365846186876297,154.92982482910156,154.85752993822098,1.435444951057434,2.080428123474121,0.644983172416687,0.09546370804309845
exp_10_50_09,10,0.5,9,0.4564685821533203,50,converged,3.001270055770874,5.0,2,5.406342061565836,True,2.0833799839019775,0.07110880315303802,0.21461495757102966,143.71102905273438,143.63992024958134,1.4342591762542725,2.0833799839019775,0.6491208076477051,0.09635928273200989
